40639,40639,30000,0,1,3,16104,14536,4975056896
41419,41419,30000,0,1,3,16697,15427,5170020864
41809,41809,30000,0,1,3,17077,15646,5270934528
42004,42004,30000,0,1,3,17255,15637,5346070848
42101,42101,30000,0,1,3,17326,15761,5356222608
42150,42150,30000,0,1,3,17488,15738,5364634944
42174,42174,30000,0,1,3,17580,16108,5365621488
42186,42186,30000,0,1,3,17507,15744,5367194880
42192,42192,30000,0,1,3,17415,16047,5363786240
42195,42195,30000,0,1,3,17437,15896,5368246344
42197,42197,30000,0,1,3,17415,14872,5347358080
42198,42198,30000,0,1,3,17481,15980,5347484616
